"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.97274369839598,0.285,0.035,0,"0","CARD10"
0,3.37672562971553,0.27,0.021,0,"0","AC110611.2"
0,0.905049024508313,0.848,0.599,0,"0","RAB13"
0,1.26378795667967,0.51,0.261,0,"0","RALB"
0,1.44454551442654,0.484,0.235,0,"0","CLIC2"
0,1.22450695334658,0.539,0.291,0,"0","RBMS2"
0,1.36416949004272,0.434,0.187,0,"0","GBP4"
0,0.949077089257941,0.823,0.576,0,"0","ACTN4"
0,2.05222444560688,0.968,0.721,0,"0","FKBP1A"
0,1.93263016018865,0.286,0.039,0,"0","ARHGEF28"
0,1.16096301776773,0.546,0.3,0,"0","FZD4"
0,1.24360887286685,0.45,0.204,0,"0","TSPAN9"
0,1.48935303528347,0.415,0.169,0,"0","HPCAL1"
0,2.50998798394632,0.288,0.042,0,"0","TNFAIP8L1"
0,1.32515136621213,0.34,0.095,0,"0","FABP4"
0,1.07341786495012,0.739,0.494,0,"0","WWTR1"
0,1.71513047072887,0.322,0.077,0,"0","AOC3"
0,1.24338480000755,0.405,0.161,0,"0","GSE1"
0,1.28800857167077,0.828,0.584,0,"0","MSN"
0,1.97347500320584,0.338,0.095,0,"0","PPM1F"
0,2.5195059847259,0.286,0.043,0,"0","PKN3"
0,1.13738803999689,0.659,0.417,0,"0","SNTB2"
0,0.951639985366066,0.468,0.226,0,"0","AC007319.1"
0,1.32677982313638,0.464,0.222,0,"0","ACVRL1"
0,1.53258796694161,0.977,0.735,0,"0","CAV1"
0,1.02347775541519,0.609,0.367,0,"0","HIPK3"
0,1.31675767822781,0.82,0.578,0,"0","KLF2"
0,4.02380270433457,0.253,0.011,0,"0","EXOC3L2"
0,2.57035078688946,0.287,0.046,0,"0","KRT8"
0,1.59503599584232,0.402,0.163,0,"0","FLOT2"
0,0.97789873413632,0.751,0.513,0,"0","PLSCR1"
0,0.671303586061011,0.728,0.49,0,"0","RBPMS"
0,2.88145643543544,0.289,0.051,0,"0","AL162586.1"
0,1.49598044769857,0.411,0.173,0,"0","RALGDS"
0,2.23432265564952,0.311,0.073,0,"0","NOL4L"
0,0.9716854731816,0.546,0.309,0,"0","ADAM10"
0,1.41075032520387,0.349,0.113,0,"0","PIK3R3"
0,1.45622778678236,0.389,0.156,0,"0","STIM2"
0,1.09692266232019,0.456,0.224,0,"0","STARD9"
0,1.54480108906975,0.351,0.119,0,"0","COL21A1"
0,1.51694079546633,0.325,0.094,0,"0","CHD7"
0,2.30385775095706,0.269,0.038,0,"0","PDGFB"
0,1.44272491383858,0.366,0.135,0,"0","CD200"
0,1.3000424482671,0.447,0.217,0,"0","PLK2"
0,2.80966116200612,0.262,0.032,0,"0","ZNF467"
0,1.626211472904,0.327,0.097,0,"0","ANGPT2"
0,4.2673149358908,0.252,0.022,0,"0","C2CD4B"
0,1.93895128907205,0.276,0.047,0,"0","KRT18"
0,1.12116064191268,0.476,0.247,0,"0","CPNE8"
0,1.67339501646071,0.35,0.121,0,"0","ARHGAP23"
0,1.03618550888736,0.654,0.426,0,"0","RDX"
0,2.00211000037846,0.327,0.099,0,"0","AGRN"
0,1.22956911379667,0.906,0.678,0,"0","GNAI2"
0,1.48427052579014,0.424,0.197,0,"0","EGLN1"
0,1.1720283072448,0.583,0.356,0,"0","SLC3A2"
0,2.37441866457099,0.286,0.059,0,"0","CHST7"
0,2.11298739122498,0.272,0.046,0,"0","CNTNAP3"
0,1.85346740482473,0.322,0.096,0,"0","GFOD2"
0,1.28330533350515,0.417,0.191,0,"0","MAP3K3"
0,1.1127376486036,0.579,0.353,0,"0","EPB41L3"
